;Plaats_Op_Lijst;Kandidaat;Geslacht;# stemmen partij;# stemmen kandidaat;Partij;Zetels;Peiling;Aantal Mannen;Aantal Vrouwen;Man_stem_percentage;Vrouw_stem_percentage;Max_Vrouwen_Volgens_Peilingen;Gekozen;# stemmen partij peiling;man-vrouw stemmen percentage peiling
0;1;H.C.M. (Henk) Krol;M;123514;148273;50PLUS;2;2;26;8;49;51;2;1.0;124474.4;0.5
1;2;N.P.M. (Norbert) Klein;M;123514;3511;50PLUS;2;2;26;8;49;51;2;1.0;124474.4;0.5
2;3;M.H.H. (Martine) Baay-Timmerman;V;123514;7123;50PLUS;2;2;26;8;49;51;2;0.0;124474.4;0.5
3;4;W. (Willem) Herrebrugh;M;123514;816;50PLUS;2;2;26;8;49;51;2;0.0;124474.4;0.5
4;5;W.A.A.M. (Wim) van Overveld;M;123514;845;50PLUS;2;2;26;8;49;51;2;0.0;124474.4;0.5
5;6;K.L.R. (Roy) Ho Ten Soeng;M;123514;2654;50PLUS;2;2;26;8;49;51;2;0.0;124474.4;0.5
6;7;M.W.E. (Monique) van de Griendt;V;123514;1941;50PLUS;2;2;26;8;49;51;2;0.0;124474.4;0.5
7;8;H. (Harry) Siepel;M;123514;997;50PLUS;2;2;26;8;49;51;2;0.0;124474.4;0.5
8;9;H. (Harry) Lamberts;M;123514;722;50PLUS;2;2;26;8;49;51;2;0.0;124474.4;0.5
9;10;W.M.M. (Mieke) Hoek;V;123514;511;50PLUS;2;2;26;8;49;51;2;0.0;124474.4;0.5
10;11;A. (Astrid) Woldinga;V;123514;705;50PLUS;2;2;26;8;49;51;2;0.0;124474.4;0.5
11;12;J.W.A. (John) Struijlaard;M;123514;976;50PLUS;2;2;26;8;49;51;2;0.0;124474.4;0.5
12;13;R. (Rob) Hompe;M;123514;1097;50PLUS;2;2;26;8;49;51;2;0.0;124474.4;0.5
13;14;G.T. (Gerda) Karmelk-Brom;V;123514;477;50PLUS;2;2;26;8;49;51;2;0.0;124474.4;0.5
14;15;W. (Willem) Willemse;M;123514;715;50PLUS;2;2;26;8;49;51;2;0.0;124474.4;0.5
15;16;A.J.P.F. (Jeannette) de Caluwe;V;123514;804;50PLUS;2;2;26;8;49;51;2;0.0;124474.4;0.5
16;17;C.M.I. (Kees) van de Molengraft;M;123514;453;50PLUS;2;2;26;8;49;51;2;0.0;124474.4;0.5
17;18;G. (Guido) Brandt Corstius;M;123514;288;50PLUS;2;2;26;8;49;51;2;0.0;124474.4;0.5
18;19;J.D. (Jan-Dirk) van Arkel;M;123514;188;50PLUS;2;2;26;8;49;51;2;0.0;124474.4;0.5
19;20;W. (Wil) van Soest;V;123514;319;50PLUS;2;2;26;8;49;51;2;0.0;124474.4;0.5
20;21;F.E. (Frits) Colnot;M;123514;131;50PLUS;2;2;26;8;49;51;2;0.0;124474.4;0.5
