;Plaats_Op_Lijst;Kandidaat;Geslacht;# stemmen partij;# stemmen kandidaat;Partij;Zetels;Peiling;Aantal Mannen;Aantal Vrouwen;Man_stem_percentage;Vrouw_stem_percentage;Max_Vrouwen_Volgens_Peilingen;Gekozen;aantal mannen
0;1;H.C.M. (Henk) Krol;M;177631;148273;50PLUS;2;2;26;8;49;51;2;1.0;26
1;2;N.P.M. (Norbert) Klein;M;177631;3511;50PLUS;2;2;26;8;49;51;2;1.0;26
2;3;M.H.H. (Martine) Baay-Timmerman;V;177631;7123;50PLUS;2;2;26;8;49;51;2;0.0;26
3;4;W. (Willem) Herrebrugh;M;177631;816;50PLUS;2;2;26;8;49;51;2;0.0;26
4;5;W.A.A.M. (Wim) van Overveld;M;177631;845;50PLUS;2;2;26;8;49;51;2;0.0;26
5;6;K.L.R. (Roy) Ho Ten Soeng;M;177631;2654;50PLUS;2;2;26;8;49;51;2;0.0;26
6;7;M.W.E. (Monique) van de Griendt;V;177631;1941;50PLUS;2;2;26;8;49;51;2;0.0;26
7;8;H. (Harry) Siepel;M;177631;997;50PLUS;2;2;26;8;49;51;2;0.0;26
8;9;H. (Harry) Lamberts;M;177631;722;50PLUS;2;2;26;8;49;51;2;0.0;26
9;10;W.M.M. (Mieke) Hoek;V;177631;511;50PLUS;2;2;26;8;49;51;2;0.0;26
10;11;A. (Astrid) Woldinga;V;177631;705;50PLUS;2;2;26;8;49;51;2;0.0;26
11;12;J.W.A. (John) Struijlaard;M;177631;976;50PLUS;2;2;26;8;49;51;2;0.0;26
12;13;R. (Rob) Hompe;M;177631;1097;50PLUS;2;2;26;8;49;51;2;0.0;26
13;14;G.T. (Gerda) Karmelk-Brom;V;177631;477;50PLUS;2;2;26;8;49;51;2;0.0;26
14;15;W. (Willem) Willemse;M;177631;715;50PLUS;2;2;26;8;49;51;2;0.0;26
15;16;A.J.P.F. (Jeannette) de Caluwe;V;177631;804;50PLUS;2;2;26;8;49;51;2;0.0;26
16;17;C.M.I. (Kees) van de Molengraft;M;177631;453;50PLUS;2;2;26;8;49;51;2;0.0;26
17;18;G. (Guido) Brandt Corstius;M;177631;288;50PLUS;2;2;26;8;49;51;2;0.0;26
18;19;J.D. (Jan-Dirk) van Arkel;M;177631;188;50PLUS;2;2;26;8;49;51;2;0.0;26
19;20;W. (Wil) van Soest;V;177631;319;50PLUS;2;2;26;8;49;51;2;0.0;26
20;21;F.E. (Frits) Colnot;M;177631;131;50PLUS;2;2;26;8;49;51;2;0.0;26
21;22;P. (Peter) Pont;M;177631;292;50PLUS;2;2;26;8;49;51;2;0.0;26
22;23;A.I.M. (Lidie) Tax-Philippi;V;177631;107;50PLUS;2;2;26;8;49;51;2;0.0;26
23;24;H.J.C. (Dick) Schouw;M;177631;350;50PLUS;2;2;26;8;49;51;2;0.0;26
24;25;S.M. (Stefano) Erba;M;177631;79;50PLUS;2;2;26;8;49;51;2;0.0;26
25;26;P. (Piet) van 't Wout;M;177631;577;50PLUS;2;2;26;8;49;51;2;0.0;26
26;27;H. (Harry) de Groot;M;177631;373;50PLUS;2;2;26;8;49;51;2;0.0;26
27;28;P.A. (Peter) Prins;M;177631;111;50PLUS;2;2;26;8;49;51;2;0.0;26
28;29;H. (Horst) Oosterveer;M;177631;117;50PLUS;2;2;26;8;49;51;2;0.0;26
29;30;C.J. (Chris) Bakker;M;177631;185;50PLUS;2;2;26;8;49;51;2;0.0;26
30;31;F. (Frans) Dor;M;177631;180;50PLUS;2;2;26;8;49;51;2;0.0;26
31;32;T. (Ton) Luiting;M;177631;118;50PLUS;2;2;26;8;49;51;2;0.0;26
32;33;H.J. (Hylke) ten Cate;M;177631;446;50PLUS;2;2;26;8;49;51;2;0.0;26
33;34;J.G. (Jan) Nagel;M;177631;1150;50PLUS;2;2;26;8;49;51;2;0.0;26
34;1;S. (Sybrand) van Haersma Buma;M;801620;517397;CDA;13;12;39;17;60;40;12;1.0;39
35;2;M.C.G. (Mona) Keijzer;V;801620;127446;CDA;13;12;39;17;60;40;12;1.0;39
36;3;S. (Sander) de Rouwe;M;801620;15814;CDA;13;12;39;17;60;40;12;1.0;39
37;4;R.W. (Raymond) Knops;M;801620;8466;CDA;13;12;39;17;60;40;12;1.0;39
38;5;M.R.J. (Michel) Rog;M;801620;1382;CDA;13;12;39;17;60;40;12;1.0;39
39;6;Y.J. (Eddy) van Hijum;M;801620;2719;CDA;13;12;39;17;60;40;12;1.0;39
40;7;H.G.J. (Hanke) Bruins Slot;V;801620;3765;CDA;13;12;39;17;60;40;12;1.0;39
41;8;J.L. (Jaco) Geurts;M;801620;5648;CDA;13;12;39;17;60;40;12;1.0;39
42;9;A.H. (Agnes) Mulder;V;801620;9824;CDA;13;12;39;17;60;40;12;1.0;39
43;10;P. (Peter) Oskam;M;801620;702;CDA;13;12;39;17;60;40;12;1.0;39
44;11;P.E. (Pieter) Heerma;M;801620;981;CDA;13;12;39;17;60;40;12;1.0;39
45;12;M.M. (Madeleine) van Toorenburg;V;801620;3558;CDA;13;12;39;17;60;40;12;1.0;39
46;13;M.J.F. (Martijn) van Helvert;M;801620;13952;CDA;13;12;39;17;60;40;12;0.0;39
47;14;H.A.G. (Erik) Ronnes;M;801620;3985;CDA;13;12;39;17;60;40;12;0.0;39
48;15;H. (Herma) Boom;V;801620;2578;CDA;13;12;39;17;60;40;12;0.0;39
49;16;M. (Mustafa) Amhaouch;M;801620;1919;CDA;13;12;39;17;60;40;12;0.0;39
50;17;M.C.I. (Marieke) van der Werf;V;801620;809;CDA;13;12;39;17;60;40;12;0.0;39
51;18;B.A. (Bernard) Schermers;M;801620;477;CDA;13;12;39;17;60;40;12;0.0;39
52;19;P.C.A. (Patricia) de Milliano-van den Hemel;V;801620;6104;CDA;13;12;39;17;60;40;12;0.0;39
